paises,regioes,continentes,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
Brazil,South America,Latin America and the Caribbean,212559417.0,0.72,1509890.0,25.0,8358140.0,21200.0,1.7,33.0,88.0,2.73
Colombia,South America,Latin America and the Caribbean,50882891.0,1.08,543448.0,46.0,1109500.0,204796.0,1.8,31.0,80.0,0.65
Argentina,South America,Latin America and the Caribbean,45195774.0,0.93,415097.0,17.0,2736690.0,4800.0,2.3,32.0,93.0,0.58
Peru,South America,Latin America and the Caribbean,32971854.0,1.42,461401.0,26.0,1280000.0,99069.0,2.3,31.0,79.0,0.42
Venezuela,South America,Latin America and the Caribbean,28435940.0,-0.28,-79889.0,32.0,882050.0,-653249.0,2.3,30.0,,0.36
Chile,South America,Latin America and the Caribbean,19116201.0,0.87,164163.0,26.0,743532.0,111708.0,1.7,35.0,85.0,0.25
Ecuador,South America,Latin America and the Caribbean,17643054.0,1.55,269392.0,71.0,248360.0,36400.0,2.4,28.0,63.0,0.23
Bolivia,South America,Latin America and the Caribbean,11673021.0,1.39,159921.0,11.0,1083300.0,-9504.0,2.8,26.0,69.0,0.15
Paraguay,South America,Latin America and the Caribbean,7132538.0,1.25,87902.0,18.0,397300.0,-16556.0,2.4,26.0,62.0,0.09
Uruguay,South America,Latin America and the Caribbean,3473730.0,0.35,11996.0,20.0,175020.0,-3000.0,2.0,36.0,96.0,0.04
Guyana,South America,Latin America and the Caribbean,786552.0,0.48,3786.0,4.0,196850.0,-6000.0,2.5,27.0,27.0,0.01
Suriname,South America,Latin America and the Caribbean,586632.0,0.9,5260.0,4.0,156000.0,-1000.0,2.4,29.0,65.0,0.01
French Guiana,South America,Latin America and the Caribbean,298682.0,2.7,7850.0,4.0,82200.0,1200.0,3.4,25.0,87.0,0.0
Falkland Islands,South America,Latin America and the Caribbean,3480.0,3.05,103.0,0.0,12170.0,,,,66.0,0.0
Mexico,Central America,Latin America and the Caribbean,128932753.0,1.06,1357224.0,66.0,1943950.0,-60000.0,2.1,29.0,84.0,1.65
Guatemala,Central America,Latin America and the Caribbean,17915568.0,1.9,334096.0,167.0,107160.0,-9215.0,2.9,23.0,52.0,0.23
Honduras,Central America,Latin America and the Caribbean,9904607.0,1.63,158490.0,89.0,111890.0,-6800.0,2.5,24.0,57.0,0.13
Nicaragua,Central America,Latin America and the Caribbean,6624554.0,1.21,79052.0,55.0,120340.0,-21272.0,2.4,26.0,57.0,0.08
El Salvador,Central America,Latin America and the Caribbean,6486205.0,0.51,32652.0,313.0,20720.0,-40539.0,2.1,28.0,73.0,0.08
Costa Rica,Central America,Latin America and the Caribbean,5094118.0,0.92,46557.0,100.0,51060.0,4200.0,1.8,33.0,80.0,0.07
Panama,Central America,Latin America and the Caribbean,4314767.0,1.61,68328.0,58.0,74340.0,11200.0,2.5,30.0,68.0,0.06
Belize,Central America,Latin America and the Caribbean,397628.0,1.86,7275.0,17.0,22810.0,1200.0,2.3,25.0,46.0,0.01
